Stat Context Type,Stat Context Name,Map,Stat,Amount
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Ecopoint: Antarctica,Map Wins,2.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Ecopoint: Antarctica,Map Enters,4.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Necropolis,Map Wins,3.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Necropolis,Map Enters,5.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Necropolis,Map Ties,1.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Black Forest,Map Wins,3.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Black Forest,Map Enters,6.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Castillo,Map Wins,3.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Castillo,Map Enters,3.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Ayutthaya,Map Wins,2.0
Ruleset,Elimination 6v6 Lockout - Ranked 2018,Ayutthaya,Map Enters,3.0
Ruleset,Deathmatch - Competitive 2018,Château Guillard,Map Enters,1.0
Ruleset,Deathmatch - Competitive 2018,Château Guillard,Game Leaves,1.0
Ruleset,Deathmatch - Competitive 2018,Château Guillard,Map Ties,1.0
Ruleset,Elimination 3v3 Lockout - Ranked 2018,Castillo,Map Enters,1.0
Ruleset,LucioBall - Competitive Season 2,Busan Stadium,Map Enters,1.0
